run_id,metric,scope,condition_or_contrast,n,value,ci_low,ci_high,p_value,effect_size
full-002,objective_score,condition_mean,A,60,0.9271230166666665,0.8812798,0.9657341333333332,,
full-002,objective_score,condition_mean,B,60,0.9476587333333334,0.9136309666666668,0.9763988333333333,,
full-002,objective_score,condition_mean,D,60,0.93492395,0.8960879833333331,0.9684126833333332,,
full-002,objective_score,condition_mean,T01,60,0.9433730166666666,0.9072222166666666,0.9755555666666668,,
full-002,objective_score,condition_mean,T02,60,0.94154765,0.8941072166666668,0.9825893000000001,,
full-002,objective_score,condition_mean,T03,60,0.9136342499999999,0.8705092000000001,0.9535978499999999,,
full-002,objective_score,condition_mean,T04,60,0.9431646833333333,0.9114880833333332,0.9718750166666666,,
full-002,objective_score,condition_mean,T05,60,0.9229563500000001,0.8807539500000001,0.96198415,,
full-002,objective_score,condition_mean,T06,60,0.9387930166666667,0.8883829666666669,0.9789880999999999,,
full-002,objective_score,condition_mean,T07,60,0.9099305666666667,0.86732145,0.9501488333333334,,
full-002,objective_score,condition_mean,T08,60,0.9333035666666666,0.8944146666666665,0.9680158666666667,,
full-002,objective_score,condition_mean,T09,60,0.9206944333333332,0.8781944166666666,0.9583333333333333,,
full-002,objective_score,condition_mean,T10,60,0.910916,0.8676454666666668,0.9517096833333335,,
full-002,objective_score,condition_mean,T11,60,0.8762598833333332,0.7987994833333335,0.9374404666666666,,
full-002,objective_score,condition_mean,T12,60,0.9519146833333333,0.9264285666666665,0.9754166666666666,,
full-002,objective_score,condition_mean,T13,60,0.9196792333333333,0.8768783,0.9575330833333332,,
full-002,objective_score,condition_mean,T14,60,0.9447222166666667,0.9058333,0.9795138833333332,,
full-002,objective_score,condition_mean,T15,60,0.9372387499999999,0.9049999999999998,0.9679629666666665,,
full-002,objective_score,condition_mean,T16,60,0.9383333500000001,0.9037500333333333,0.9696230166666666,,
full-002,objective_score,condition_mean,T17,60,0.9273908666666667,0.8861904333333335,0.9642262,,
full-002,objective_score,condition_mean,T18,60,0.9108333333333333,0.8531349333333332,0.9599603333333332,,
full-002,objective_score,condition_mean,T19,60,0.9191170666666667,0.8709623166666669,0.9618749999999998,,
full-002,objective_score,condition_mean,T20,60,0.9091104666666667,0.8591270333333333,0.95185185,,
full-002,objective_score,condition_mean,T21,60,0.9188723666666666,0.8798115166666665,0.9559193166666666,,
full-002,objective_score,condition_mean,T22,60,0.9211640333333334,0.8750330666666666,0.9608631,,
full-002,objective_score,condition_mean,T23,60,0.9363889000000001,0.9009921333333334,0.9666666833333333,,
full-002,objective_score,condition_mean,T24,60,0.9111110833333333,0.8663789166666668,0.9529364666666666,,
full-002,objective_score,condition_mean,T25,60,0.90270505,0.854193166666667,0.9447354833333332,,
full-002,objective_score,condition_mean,T26,60,0.9193551666666668,0.8770536166666668,0.9592757833333333,,
full-002,objective_score,condition_mean,E01,60,0.9484424833333333,0.9112996333333335,0.9802777833333334,,
full-002,objective_score,condition_mean,E02,60,0.9473908833333333,0.9079663,0.9804762,,
full-002,objective_score,condition_mean,E03,60,0.9542757999999999,0.9231448333333331,0.9819047666666666,,
full-002,objective_score,condition_mean,E04,60,0.9448611166666667,0.8925992166666669,0.9860317666666666,,
full-002,objective_score,condition_mean,E05,60,0.9470998500000001,0.9062896499999998,0.980873,,
full-002,objective_score,condition_mean,E06,60,0.9271362500000001,0.8821064666666666,0.9670370333333335,,
full-002,objective_score,condition_mean,E07,60,0.9186011833333333,0.8660317499999999,0.9638095000000001,,
full-002,objective_score,condition_mean,E08,60,0.9369742166666666,0.8860019666666668,0.9783333499999999,,
full-002,objective_score,contrast,T01_vs_A,60,0.01625,-0.01208335,0.0420139,0.25,0.26372720840844255
full-002,objective_score,contrast,T01_vs_B,60,-0.0042857166666666665,-0.029791666666666668,0.021329350000000004,0.7734375,-0.0720752980657818
full-002,objective_score,contrast,T01_vs_D,60,0.008449066666666663,-0.014861133333333335,0.0319213,0.49609375,0.15581053986527593
full-002,objective_score,contrast,T02_vs_A,60,0.014424633333333332,-0.011289666666666667,0.04436513333333333,0.3671875,0.2204748643583379
full-002,objective_score,contrast,T02_vs_B,60,-0.0061110833333333356,-0.04515870000000001,0.02809523333333333,0.75,-0.07147908038253394
full-002,objective_score,contrast,T02_vs_D,60,0.006623699999999999,-0.03384256666666667,0.039791666666666656,0.76953125,0.07668324040832311
full-002,objective_score,contrast,T03_vs_A,60,-0.013488766666666664,-0.03663693333333333,0.007490066666666667,0.265625,-0.2571057976272544
full-002,objective_score,contrast,T03_vs_B,60,-0.03402448333333333,-0.06216933333333333,-0.007883616666666668,0.02734375,-0.5386813411111991
full-002,objective_score,contrast,T03_vs_D,60,-0.0212897,-0.04991078333333333,0.005386883333333331,0.171875,-0.3258266537224678
full-002,objective_score,contrast,T04_vs_A,60,0.016041666666666666,-0.011349183333333337,0.04757935,0.359375,0.23311995557175447
full-002,objective_score,contrast,T04_vs_B,60,-0.004494050000000001,-0.022063516666666665,0.012331349999999994,0.609375,-0.11269593252574177
full-002,objective_score,contrast,T04_vs_D,60,0.00824073333333333,-0.0197057,0.03847223333333333,0.60546875,0.12104458324785192
full-002,objective_score,contrast,T05_vs_A,60,-0.004166666666666668,-0.027777766666666665,0.01979166666666667,0.765625,-0.0744461658718399
full-002,objective_score,contrast,T05_vs_B,60,-0.02470238333333333,-0.05060511666666667,0.0008432499999999988,0.09375,-0.40790879362352933
full-002,objective_score,contrast,T05_vs_D,60,-0.011967600000000004,-0.04444444999999999,0.017430549999999996,0.484375,-0.1664734257399352
full-002,objective_score,contrast,T06_vs_A,60,0.011669999999999996,-0.01661375,0.0428572,0.5078125,0.16760699759985248
full-002,objective_score,contrast,T06_vs_B,60,-0.008865716666666669,-0.035214916666666665,0.01809526666666666,0.54296875,-0.14179737316522517
full-002,objective_score,contrast,T06_vs_D,60,0.0038690666666666615,-0.03686506666666666,0.040337316666666664,0.83984375,0.04264988421075569
full-002,objective_score,contrast,T07_vs_A,60,-0.017192449999999995,-0.051835333333333324,0.01579366666666667,0.34423828125,-0.22088756341059257
full-002,objective_score,contrast,T07_vs_B,60,-0.03772816666666666,-0.06799603333333334,-0.01277775,0.0078125,-0.5734480771463134
full-002,objective_score,contrast,T07_vs_D,60,-0.024993383333333334,-0.054126999999999995,0.0040277833333333315,0.1142578125,-0.36881939926297796
full-002,objective_score,contrast,T08_vs_A,60,0.006180549999999997,-0.026527799999999997,0.03295635,0.70703125,0.08809584626494346
full-002,objective_score,contrast,T08_vs_B,60,-0.014355166666666667,-0.04317463333333333,0.010694433333333333,0.369140625,-0.22505364909297954
full-002,objective_score,contrast,T08_vs_D,60,-0.0016203833333333342,-0.03967596666666666,0.03374999999999999,0.93603515625,-0.01897507825788327
full-002,objective_score,contrast,T09_vs_A,60,-0.006428583333333332,-0.04418651666666666,0.029742050000000003,0.7509765625,-0.07384832298159127
full-002,objective_score,contrast,T09_vs_B,60,-0.0269643,-0.05515875,-0.0038095333333333327,0.0419921875,-0.45387120012324333
full-002,objective_score,contrast,T09_vs_D,60,-0.014229516666666667,-0.04698416666666667,0.013392866666666664,0.40625,-0.2023005740411841
full-002,objective_score,contrast,T10_vs_A,60,-0.016207016666666664,-0.05514883333333333,0.02091601666666667,0.4326171875,-0.18154392984885784
full-002,objective_score,contrast,T10_vs_B,60,-0.036742733333333326,-0.07642863333333333,-0.0019841166666666613,0.0859375,-0.41843086024650933
full-002,objective_score,contrast,T10_vs_D,60,-0.024007949999999997,-0.06438498333333333,0.014146816666666673,0.265625,-0.25324906602679004
full-002,objective_score,contrast,T11_vs_A,60,-0.05086313333333334,-0.12451396666666667,-0.003670633333333334,0.05078125,-0.33529879657003075
full-002,objective_score,contrast,T11_vs_B,60,-0.07139885,-0.14632945,-0.019504,0.00634765625,-0.46604460319932844
full-002,objective_score,contrast,T11_vs_D,60,-0.05866406666666667,-0.13316478333333331,-0.007275150000000005,0.0362548828125,-0.379295204393957
full-002,objective_score,contrast,T12_vs_A,60,0.02479166666666667,-0.0012499999999999998,0.05535713333333333,0.125,0.37551126066403084
full-002,objective_score,contrast,T12_vs_B,60,0.0042559500000000005,-0.016111116666666668,0.027063483333333332,0.734375,0.0830797650044751
full-002,objective_score,contrast,T12_vs_D,60,0.01699073333333333,0.0016666666666666663,0.03449073333333333,0.0703125,0.4367577256306168
full-002,objective_score,contrast,T13_vs_A,60,-0.007443783333333333,-0.03408403333333333,0.024133583333333337,0.66015625,-0.10674420907359349
full-002,objective_score,contrast,T13_vs_B,60,-0.027979499999999997,-0.04947088333333333,-0.0080754,0.017578125,-0.5802729473579777
full-002,objective_score,contrast,T13_vs_D,60,-0.015244716666666668,-0.04772821666666667,0.014011250000000003,0.375,-0.21362025009480118
full-002,objective_score,contrast,T14_vs_A,60,0.0175992,-0.01742066666666666,0.05507938333333333,0.390625,0.2052551285553208
full-002,objective_score,contrast,T14_vs_B,60,-0.0029365166666666664,-0.03067463333333333,0.02507935,0.841796875,-0.04566637869445188
full-002,objective_score,contrast,T14_vs_D,60,0.009798266666666665,-0.011197116666666668,0.031177266666666658,0.396484375,0.19595875872812935
full-002,objective_score,contrast,T15_vs_A,60,0.010115733333333337,-0.024361766666666663,0.04642853333333334,0.6015625,0.12174509949977814
full-002,objective_score,contrast,T15_vs_B,60,-0.01041998333333333,-0.03758598333333333,0.016167316666666667,0.484375,-0.16235770311221234
full-002,objective_score,contrast,T15_vs_D,60,0.0023148,-0.024120366666666664,0.029537016666666673,0.8984375,0.036444610379396364
full-002,objective_score,contrast,T16_vs_A,60,0.011210333333333333,-0.00866068333333333,0.03242065,0.28125,0.23870302775544414
full-002,objective_score,contrast,T16_vs_B,60,-0.009325383333333333,-0.022976200000000002,0.003541666666666665,0.21875,-0.3002733203762576
full-002,objective_score,contrast,T16_vs_D,60,0.0034093999999999978,-0.023442433333333332,0.03125661666666666,0.818359375,0.05293665957627372
full-002,objective_score,contrast,T17_vs_A,60,0.0002678499999999991,-0.030694466666666663,0.028541666666666667,0.96875,0.0037732922564970065
full-002,objective_score,contrast,T17_vs_B,60,-0.02026786666666667,-0.05296628333333333,0.008015866666666666,0.232421875,-0.2835711608192013
full-002,objective_score,contrast,T17_vs_D,60,-0.007533083333333337,-0.0468254,0.027976183333333328,0.73828125,-0.0856191336715196
full-002,objective_score,contrast,T18_vs_A,60,-0.01628968333333334,-0.07122026666666667,0.023333333333333324,0.7080078125,-0.14330989004863826
full-002,objective_score,contrast,T18_vs_B,60,-0.0368254,-0.08701391666666666,-0.0019642833333333386,0.076171875,-0.35170794633747093
full-002,objective_score,contrast,T18_vs_D,60,-0.024090616666666672,-0.08285716666666666,0.02285384999999999,0.456298828125,-0.1954593719661444
full-002,objective_score,contrast,T19_vs_A,60,-0.008005950000000001,-0.05590278333333333,0.03420635,0.755859375,-0.07573184002996697
full-002,objective_score,contrast,T19_vs_B,60,-0.02854166666666667,-0.08012896666666666,0.016825399999999997,0.2890625,-0.25190623345539676
